,movie,year,imdb,metascore,votes,genre
107,Unbreakable,(2000),7.3,62.0,311700,"Drama, Mystery, Sci-Fi"
108,Meet the Parents,(2000),7.0,73.0,288469,"Comedy, Romance"
109,Mission: Impossible II,(2000),6.1,,283764,"Action, Adventure, Thriller"
110,"O Brother, Where Art Thou?",(2000),7.8,69.0,258657,"Adventure, Comedy, Crime"
111,Gone in Sixty Seconds,(2000),6.5,,241601,"Action, Crime, Thriller"
112,"Crouching Tiger, Hidden Dragon",(2000),7.9,93.0,236512,"Action, Adventure, Fantasy"
113,The Patriot,(2000),7.2,63.0,232739,"Action, Drama, History"
114,Almost Famous,(2000),7.9,90.0,231192,"Adventure, Comedy, Drama"
115,Pitch Black,(2000),7.1,,211305,"Horror, Sci-Fi"
116,Scary Movie,(2000),6.2,,210747,Comedy
117,"Me, Myself & Irene",(2000),6.6,,206275,Comedy
118,Final Destination,(2000),6.7,,206056,"Horror, Thriller"
119,The Beach,(I) (2000),6.6,,203587,"Adventure, Drama, Romance"
120,Amores Perros,(2000),8.1,83.0,203126,"Drama, Thriller"
121,Traffic,(2000),7.6,86.0,183920,"Crime, Drama, Thriller"
122,Remember the Titans,(2000),7.8,,180871,"Biography, Drama, Sport"
123,How the Grinch Stole Christmas,(2000),6.1,,177647,"Comedy, Family, Fantasy"
124,What Women Want,(2000),6.4,,177106,"Comedy, Fantasy, Romance"
125,Chocolat,(2000),7.3,64.0,165855,"Drama, Romance"
126,Miss Congeniality,(2000),6.2,,163693,"Action, Comedy, Crime"
127,Charlie's Angels,(2000),5.5,,160257,"Action, Adventure, Comedy"
128,Chicken Run,(2000),7.0,88.0,160092,"Animation, Adventure, Comedy"
129,Battle Royale,(2000),7.7,81.0,156731,"Adventure, Drama, Sci-Fi"
130,High Fidelity,(2000),7.5,79.0,156372,"Comedy, Drama, Music"
131,The Emperor's New Groove,(2000),7.3,70.0,155184,"Animation, Adventure, Comedy"
132,Erin Brockovich,(2000),7.3,73.0,154769,"Biography, Drama"
133,Road Trip,(2000),6.5,,146285,"Adventure, Comedy"
134,The Perfect Storm,(2000),6.4,,144831,"Action, Adventure, Drama"
135,"Dude, Where's My Car?",(2000),5.5,,127002,"Comedy, Mystery, Sci-Fi"
136,Hollow Man,(2000),5.7,,113000,"Action, Horror, Sci-Fi"
137,Scream 3,(2000),5.6,,112047,"Horror, Mystery"
138,Billy Elliot,(2000),7.7,74.0,111689,"Drama, Music, Romance"
139,Shanghai Noon,(2000),6.6,77.0,109565,"Action, Adventure, Comedy"
140,The 6th Day,(2000),5.9,,108924,"Action, Mystery, Sci-Fi"
141,What Lies Beneath,(2000),6.6,,108509,"Drama, Fantasy, Horror"
142,Malcolm in the Middle,(2000–2006),8.0,,106923,"Comedy, Family"
143,Pay It Forward,(2000),7.2,,105855,Drama
144,In the Mood for Love,(2000),8.1,85.0,101749,"Drama, Romance"
145,The Whole Nine Yards,(2000),6.7,,100674,"Comedy, Crime"
146,Coyote Ugly,(2000),5.7,,99354,"Comedy, Drama, Music"
147,Men of Honor,(2000),7.2,,99328,"Biography, Drama"
148,The Family Man,(2000),6.7,,95711,"Comedy, Drama, Fantasy"
149,Frequency,(2000),7.4,67.0,92862,"Crime, Drama, Mystery"
150,Gladiator,(2000),8.5,67.0,1175356,"Action, Adventure, Drama"
151,Memento,(2000),8.5,80.0,1006391,"Mystery, Thriller"
152,Snatch,(2000),8.3,,701921,"Comedy, Crime"
153,Requiem for a Dream,(2000),8.3,68.0,682440,Drama
154,X-Men,(2000),7.4,64.0,522371,"Action, Adventure, Sci-Fi"
155,Cast Away,(2000),7.8,73.0,460785,"Adventure, Drama, Romance"
156,American Psycho,(2000),7.6,64.0,419018,"Crime, Drama"
157,Unbreakable,(2000),7.3,62.0,311700,"Drama, Mystery, Sci-Fi"
158,Meet the Parents,(2000),7.0,73.0,288469,"Comedy, Romance"
159,Mission: Impossible II,(2000),6.1,,283764,"Action, Adventure, Thriller"
160,"O Brother, Where Art Thou?",(2000),7.8,69.0,258657,"Adventure, Comedy, Crime"
161,Gone in Sixty Seconds,(2000),6.5,,241601,"Action, Crime, Thriller"
162,"Crouching Tiger, Hidden Dragon",(2000),7.9,93.0,236512,"Action, Adventure, Fantasy"
163,The Patriot,(2000),7.2,63.0,232739,"Action, Drama, History"
164,Almost Famous,(2000),7.9,90.0,231192,"Adventure, Comedy, Drama"
165,Pitch Black,(2000),7.1,,211305,"Horror, Sci-Fi"
166,Scary Movie,(2000),6.2,,210747,Comedy
167,"Me, Myself & Irene",(2000),6.6,,206275,Comedy
168,Final Destination,(2000),6.7,,206056,"Horror, Thriller"
169,The Beach,(I) (2000),6.6,,203587,"Adventure, Drama, Romance"
170,Amores Perros,(2000),8.1,83.0,203126,"Drama, Thriller"
171,Traffic,(2000),7.6,86.0,183920,"Crime, Drama, Thriller"
172,Remember the Titans,(2000),7.8,,180871,"Biography, Drama, Sport"
173,How the Grinch Stole Christmas,(2000),6.1,,177647,"Comedy, Family, Fantasy"
174,What Women Want,(2000),6.4,,177106,"Comedy, Fantasy, Romance"
175,Chocolat,(2000),7.3,64.0,165855,"Drama, Romance"
176,Miss Congeniality,(2000),6.2,,163693,"Action, Comedy, Crime"
177,Charlie's Angels,(2000),5.5,,160257,"Action, Adventure, Comedy"
178,Chicken Run,(2000),7.0,88.0,160092,"Animation, Adventure, Comedy"
179,Battle Royale,(2000),7.7,81.0,156731,"Adventure, Drama, Sci-Fi"
180,High Fidelity,(2000),7.5,79.0,156372,"Comedy, Drama, Music"
181,The Emperor's New Groove,(2000),7.3,70.0,155184,"Animation, Adventure, Comedy"
182,Erin Brockovich,(2000),7.3,73.0,154769,"Biography, Drama"
183,Road Trip,(2000),6.5,,146285,"Adventure, Comedy"
184,The Perfect Storm,(2000),6.4,,144831,"Action, Adventure, Drama"
185,"Dude, Where's My Car?",(2000),5.5,,127002,"Comedy, Mystery, Sci-Fi"
186,Hollow Man,(2000),5.7,,113000,"Action, Horror, Sci-Fi"
187,Scream 3,(2000),5.6,,112047,"Horror, Mystery"
188,Billy Elliot,(2000),7.7,74.0,111689,"Drama, Music, Romance"
189,Shanghai Noon,(2000),6.6,77.0,109565,"Action, Adventure, Comedy"
190,The 6th Day,(2000),5.9,,108924,"Action, Mystery, Sci-Fi"
191,What Lies Beneath,(2000),6.6,,108509,"Drama, Fantasy, Horror"
192,Malcolm in the Middle,(2000–2006),8.0,,106923,"Comedy, Family"
193,Pay It Forward,(2000),7.2,,105855,Drama
194,In the Mood for Love,(2000),8.1,85.0,101749,"Drama, Romance"
195,The Whole Nine Yards,(2000),6.7,,100674,"Comedy, Crime"
196,Coyote Ugly,(2000),5.7,,99354,"Comedy, Drama, Music"
197,Men of Honor,(2000),7.2,,99328,"Biography, Drama"
198,The Family Man,(2000),6.7,,95711,"Comedy, Drama, Fantasy"
199,Frequency,(2000),7.4,67.0,92862,"Crime, Drama, Mystery"
200,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92.0,1463724,"Adventure, Drama, Fantasy"
201,A Beautiful Mind,(2001),8.2,72.0,748986,"Biography, Drama"
202,"Monsters, Inc.",(2001),8.1,78.0,716084,"Animation, Adventure, Comedy"
203,Donnie Darko,(2001),8.1,88.0,683250,"Drama, Sci-Fi, Thriller"
204,Amélie,(2001),8.3,69.0,636149,"Comedy, Romance"
205,Harry Potter and the Sorcerer's Stone,(2001),7.6,64.0,551103,"Adventure, Family, Fantasy"
206,Shrek,(2001),7.9,84.0,544376,"Animation, Adventure, Comedy"
207,Spirited Away,(2001),8.6,96.0,536142,"Animation, Adventure, Family"
208,Ocean's Eleven,(2001),7.8,74.0,464437,"Crime, Thriller"
209,Training Day,(2001),7.7,69.0,349115,"Crime, Drama, Thriller"
210,Black Hawk Down,(2001),7.7,74.0,332021,"Drama, History, War"
211,The Fast and the Furious,(2001),6.8,,313063,"Action, Crime, Thriller"
212,The Others,(2001),7.6,74.0,307687,"Horror, Mystery, Thriller"
213,Band of Brothers,(2001),9.5,,303138,"Action, Drama, History"
214,Pearl Harbor,(2001),6.1,,287858,"Action, Drama, History"
215,Mulholland Drive,(2001),8.0,83.0,284131,"Drama, Mystery, Thriller"
216,The Mummy Returns,(2001),6.3,,278275,"Action, Adventure, Fantasy"
217,A.I. Artificial Intelligence,(2001),7.1,65.0,269885,"Adventure, Drama, Sci-Fi"
218,Jurassic Park III,(2001),5.9,,264084,"Action, Adventure, Sci-Fi"
219,Moulin Rouge!,(2001),7.6,66.0,247992,"Drama, Musical, Romance"
220,The Royal Tenenbaums,(2001),7.6,76.0,240797,"Comedy, Drama"
221,Hannibal,(2001),6.8,,232440,"Crime, Drama, Thriller"
222,Vanilla Sky,(2001),6.9,,230351,"Fantasy, Mystery, Romance"
223,Zoolander,(2001),6.6,61.0,226862,Comedy
224,American Pie 2,(2001),6.4,,221239,Comedy
225,Blow,(2001),7.6,,220248,"Biography, Crime, Drama"
226,Scrubs,(2001–2010),8.4,,220110,"Comedy, Drama"
227,Enemy at the Gates,(2001),7.6,,219273,"Drama, History, War"
228,Bridget Jones's Diary,(2001),6.7,66.0,201325,"Comedy, Drama, Romance"
229,Planet of the Apes,(2001),5.7,,198821,"Action, Adventure, Sci-Fi"
230,Lara Croft: Tomb Raider,(2001),5.8,,181912,"Action, Adventure, Fantasy"
231,Rush Hour 2,(2001),6.6,,181600,"Action, Comedy, Crime"
232,Swordfish,(2001),6.5,,167139,"Action, Crime, Thriller"
233,K-PAX,(2001),7.4,,165147,"Drama, Sci-Fi"
234,24,(2001–2010),8.4,,161282,"Action, Crime, Drama"
235,Legally Blonde,(2001),6.3,,158616,"Comedy, Romance"
236,A Knight's Tale,(2001),6.9,,154335,"Action, Adventure, Romance"
237,Jay and Silent Bob Strike Back,(2001),6.9,,139062,Comedy
238,From Hell,(2001),6.8,,137449,"Horror, Mystery, Thriller"
239,Scary Movie 2,(2001),5.3,,135627,Comedy
240,I Am Sam,(2001),7.6,,133945,Drama
241,Spy Game,(2001),7.1,63.0,133174,"Action, Crime, Thriller"
242,Shallow Hal,(2001),5.9,,119373,"Comedy, Drama, Fantasy"
243,The Princess Diaries,(2001),6.3,,113019,"Comedy, Family, Romance"
244,The Score,(2001),6.8,71.0,111534,"Crime, Drama, Thriller"
245,Evolution,(2001),6.1,,111058,"Comedy, Sci-Fi"
246,Six Feet Under,(2001–2005),8.7,,107787,"Comedy, Drama"
247,Smallville,(2001–2011),7.5,,106902,"Adventure, Drama, Romance"
248,Ghost World,(2001),7.4,88.0,105545,"Comedy, Drama"
249,Y Tu Mamá También,(2001),7.7,88.0,104277,"Adventure, Comedy, Drama"
250,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92.0,1463724,"Adventure, Drama, Fantasy"
251,A Beautiful Mind,(2001),8.2,72.0,748986,"Biography, Drama"
252,"Monsters, Inc.",(2001),8.1,78.0,716084,"Animation, Adventure, Comedy"
253,Donnie Darko,(2001),8.1,88.0,683250,"Drama, Sci-Fi, Thriller"
254,Amélie,(2001),8.3,69.0,636149,"Comedy, Romance"
255,Harry Potter and the Sorcerer's Stone,(2001),7.6,64.0,551103,"Adventure, Family, Fantasy"
256,Shrek,(2001),7.9,84.0,544376,"Animation, Adventure, Comedy"
257,Spirited Away,(2001),8.6,96.0,536142,"Animation, Adventure, Family"
258,Ocean's Eleven,(2001),7.8,74.0,464437,"Crime, Thriller"
259,Training Day,(2001),7.7,69.0,349115,"Crime, Drama, Thriller"
260,Black Hawk Down,(2001),7.7,74.0,332021,"Drama, History, War"
261,The Fast and the Furious,(2001),6.8,,313063,"Action, Crime, Thriller"
262,The Others,(2001),7.6,74.0,307687,"Horror, Mystery, Thriller"
263,Band of Brothers,(2001),9.5,,303138,"Action, Drama, History"
264,Pearl Harbor,(2001),6.1,,287858,"Action, Drama, History"
265,Mulholland Drive,(2001),8.0,83.0,284131,"Drama, Mystery, Thriller"
266,The Mummy Returns,(2001),6.3,,278275,"Action, Adventure, Fantasy"
267,A.I. Artificial Intelligence,(2001),7.1,65.0,269885,"Adventure, Drama, Sci-Fi"
268,Jurassic Park III,(2001),5.9,,264084,"Action, Adventure, Sci-Fi"
269,Moulin Rouge!,(2001),7.6,66.0,247992,"Drama, Musical, Romance"
270,The Royal Tenenbaums,(2001),7.6,76.0,240797,"Comedy, Drama"
271,Hannibal,(2001),6.8,,232440,"Crime, Drama, Thriller"
272,Vanilla Sky,(2001),6.9,,230351,"Fantasy, Mystery, Romance"
273,Zoolander,(2001),6.6,61.0,226862,Comedy
274,American Pie 2,(2001),6.4,,221239,Comedy
275,Blow,(2001),7.6,,220248,"Biography, Crime, Drama"
276,Scrubs,(2001–2010),8.4,,220110,"Comedy, Drama"
277,Enemy at the Gates,(2001),7.6,,219273,"Drama, History, War"
278,Bridget Jones's Diary,(2001),6.7,66.0,201325,"Comedy, Drama, Romance"
279,Planet of the Apes,(2001),5.7,,198821,"Action, Adventure, Sci-Fi"
280,Lara Croft: Tomb Raider,(2001),5.8,,181912,"Action, Adventure, Fantasy"
281,Rush Hour 2,(2001),6.6,,181600,"Action, Comedy, Crime"
282,Swordfish,(2001),6.5,,167139,"Action, Crime, Thriller"
283,K-PAX,(2001),7.4,,165147,"Drama, Sci-Fi"
284,24,(2001–2010),8.4,,161282,"Action, Crime, Drama"
285,Legally Blonde,(2001),6.3,,158616,"Comedy, Romance"
286,A Knight's Tale,(2001),6.9,,154335,"Action, Adventure, Romance"
287,Jay and Silent Bob Strike Back,(2001),6.9,,139062,Comedy
288,From Hell,(2001),6.8,,137449,"Horror, Mystery, Thriller"
289,Scary Movie 2,(2001),5.3,,135627,Comedy
290,I Am Sam,(2001),7.6,,133945,Drama
291,Spy Game,(2001),7.1,63.0,133174,"Action, Crime, Thriller"
292,Shallow Hal,(2001),5.9,,119373,"Comedy, Drama, Fantasy"
293,The Princess Diaries,(2001),6.3,,113019,"Comedy, Family, Romance"
294,The Score,(2001),6.8,71.0,111534,"Crime, Drama, Thriller"
295,Evolution,(2001),6.1,,111058,"Comedy, Sci-Fi"
296,Six Feet Under,(2001–2005),8.7,,107787,"Comedy, Drama"
297,Smallville,(2001–2011),7.5,,106902,"Adventure, Drama, Romance"
298,Ghost World,(2001),7.4,88.0,105545,"Comedy, Drama"
299,Y Tu Mamá También,(2001),7.7,88.0,104277,"Adventure, Comedy, Drama"
300,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92.0,1463724,"Adventure, Drama, Fantasy"
301,A Beautiful Mind,(2001),8.2,72.0,748986,"Biography, Drama"
302,"Monsters, Inc.",(2001),8.1,78.0,716084,"Animation, Adventure, Comedy"
303,Donnie Darko,(2001),8.1,88.0,683250,"Drama, Sci-Fi, Thriller"
304,Amélie,(2001),8.3,69.0,636149,"Comedy, Romance"
305,Harry Potter and the Sorcerer's Stone,(2001),7.6,64.0,551103,"Adventure, Family, Fantasy"
306,Shrek,(2001),7.9,84.0,544376,"Animation, Adventure, Comedy"
307,Spirited Away,(2001),8.6,96.0,536142,"Animation, Adventure, Family"
308,Ocean's Eleven,(2001),7.8,74.0,464437,"Crime, Thriller"
309,Training Day,(2001),7.7,69.0,349115,"Crime, Drama, Thriller"
310,Black Hawk Down,(2001),7.7,74.0,332021,"Drama, History, War"
311,The Fast and the Furious,(2001),6.8,,313063,"Action, Crime, Thriller"
312,The Others,(2001),7.6,74.0,307687,"Horror, Mystery, Thriller"
313,Band of Brothers,(2001),9.5,,303138,"Action, Drama, History"
314,Pearl Harbor,(2001),6.1,,287858,"Action, Drama, History"
315,Mulholland Drive,(2001),8.0,83.0,284131,"Drama, Mystery, Thriller"
316,The Mummy Returns,(2001),6.3,,278275,"Action, Adventure, Fantasy"
317,A.I. Artificial Intelligence,(2001),7.1,65.0,269885,"Adventure, Drama, Sci-Fi"
318,Jurassic Park III,(2001),5.9,,264084,"Action, Adventure, Sci-Fi"
319,Moulin Rouge!,(2001),7.6,66.0,247992,"Drama, Musical, Romance"
320,The Royal Tenenbaums,(2001),7.6,76.0,240797,"Comedy, Drama"
321,Hannibal,(2001),6.8,,232440,"Crime, Drama, Thriller"
322,Vanilla Sky,(2001),6.9,,230351,"Fantasy, Mystery, Romance"
323,Zoolander,(2001),6.6,61.0,226862,Comedy
324,American Pie 2,(2001),6.4,,221239,Comedy
325,Blow,(2001),7.6,,220248,"Biography, Crime, Drama"
326,Scrubs,(2001–2010),8.4,,220110,"Comedy, Drama"
327,Enemy at the Gates,(2001),7.6,,219273,"Drama, History, War"
328,Bridget Jones's Diary,(2001),6.7,66.0,201325,"Comedy, Drama, Romance"
329,Planet of the Apes,(2001),5.7,,198821,"Action, Adventure, Sci-Fi"
330,Lara Croft: Tomb Raider,(2001),5.8,,181912,"Action, Adventure, Fantasy"
331,Rush Hour 2,(2001),6.6,,181600,"Action, Comedy, Crime"
332,Swordfish,(2001),6.5,,167139,"Action, Crime, Thriller"
333,K-PAX,(2001),7.4,,165147,"Drama, Sci-Fi"
334,24,(2001–2010),8.4,,161282,"Action, Crime, Drama"
335,Legally Blonde,(2001),6.3,,158616,"Comedy, Romance"
336,A Knight's Tale,(2001),6.9,,154335,"Action, Adventure, Romance"
337,Jay and Silent Bob Strike Back,(2001),6.9,,139062,Comedy
338,From Hell,(2001),6.8,,137449,"Horror, Mystery, Thriller"
339,Scary Movie 2,(2001),5.3,,135627,Comedy
340,I Am Sam,(2001),7.6,,133945,Drama
341,Spy Game,(2001),7.1,63.0,133174,"Action, Crime, Thriller"
342,Shallow Hal,(2001),5.9,,119373,"Comedy, Drama, Fantasy"
343,The Princess Diaries,(2001),6.3,,113019,"Comedy, Family, Romance"
344,The Score,(2001),6.8,71.0,111534,"Crime, Drama, Thriller"
345,Evolution,(2001),6.1,,111058,"Comedy, Sci-Fi"
346,Six Feet Under,(2001–2005),8.7,,107787,"Comedy, Drama"
347,Smallville,(2001–2011),7.5,,106902,"Adventure, Drama, Romance"
348,Ghost World,(2001),7.4,88.0,105545,"Comedy, Drama"
349,Y Tu Mamá También,(2001),7.7,88.0,104277,"Adventure, Comedy, Drama"
350,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92.0,1463724,"Adventure, Drama, Fantasy"
351,A Beautiful Mind,(2001),8.2,72.0,748986,"Biography, Drama"
352,"Monsters, Inc.",(2001),8.1,78.0,716084,"Animation, Adventure, Comedy"
353,Donnie Darko,(2001),8.1,88.0,683250,"Drama, Sci-Fi, Thriller"
354,Amélie,(2001),8.3,69.0,636149,"Comedy, Romance"
355,Harry Potter and the Sorcerer's Stone,(2001),7.6,64.0,551103,"Adventure, Family, Fantasy"
356,Shrek,(2001),7.9,84.0,544376,"Animation, Adventure, Comedy"
357,Spirited Away,(2001),8.6,96.0,536142,"Animation, Adventure, Family"
358,Ocean's Eleven,(2001),7.8,74.0,464437,"Crime, Thriller"
359,Training Day,(2001),7.7,69.0,349115,"Crime, Drama, Thriller"
360,Black Hawk Down,(2001),7.7,74.0,332021,"Drama, History, War"
361,The Fast and the Furious,(2001),6.8,,313063,"Action, Crime, Thriller"
362,The Others,(2001),7.6,74.0,307687,"Horror, Mystery, Thriller"
363,Band of Brothers,(2001),9.5,,303138,"Action, Drama, History"
364,Pearl Harbor,(2001),6.1,,287858,"Action, Drama, History"
365,Mulholland Drive,(2001),8.0,83.0,284131,"Drama, Mystery, Thriller"
366,The Mummy Returns,(2001),6.3,,278275,"Action, Adventure, Fantasy"
367,A.I. Artificial Intelligence,(2001),7.1,65.0,269885,"Adventure, Drama, Sci-Fi"
368,Jurassic Park III,(2001),5.9,,264084,"Action, Adventure, Sci-Fi"
369,Moulin Rouge!,(2001),7.6,66.0,247992,"Drama, Musical, Romance"
370,The Royal Tenenbaums,(2001),7.6,76.0,240797,"Comedy, Drama"
371,Hannibal,(2001),6.8,,232440,"Crime, Drama, Thriller"
372,Vanilla Sky,(2001),6.9,,230351,"Fantasy, Mystery, Romance"
